No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
1,17/05/2021,Mon,1318.37,2118.92,2500,933.34,0,,10.6,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2,18/05/2021,Tue,1779.13,2255.63,2500,846.74,0,,10.2,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
3,19/05/2021,Wed,2033.29,2713.71,2500,1069.98,0,,10.3,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
4,20/05/2021,Thu,2145.98,3019.6,2800,1043.05,0,,10,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
5,21/05/2021,Fri,3511.22,5420.47,3500,2817.46,0,,9.4,6.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
6,22/05/2021,Sat,4096.35,5407.81,6500,1141.8,0,,9.7,7.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
7,23/05/2021,Sun,2387.7,2603.24,2500,-239.29,0,,8,5.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
8,24/05/2021,Mon,2034.94,2716.83,2500,1690.78,0,,8.3,6.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
9,25/05/2021,Tue,1602.34,2377.33,2500,1364.75,0,,9,7.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
10,26/05/2021,Wed,1639.54,2661.54,2500,1811.66,0,,9.8,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11,27/05/2021,Thu,1991.85,2882.54,2850,1981.75,0,,12.7,12.6,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
12,28/05/2021,Fri,3416.29,5789.69,3750,4478.27,0,,13.2,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
13,29/05/2021,Sat,3870.7,4955.62,6850,4145.92,0,,15.7,15.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14,30/05/2021,Sun,1397.15,1784.58,3000,1403.15,0,,14.3,14.2,Clear,Clear conditions throughout the day.,clear-day
15,31/05/2021,Mon,2421.58,2949.36,3500,2949.36,1,Spring Bank Holiday,14.9,14.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16,01/06/2021,Tue,2015.48,2686.77,2850,2686.77,0,,17.8,17.8,Clear,Clear conditions throughout the day.,clear-day
17,02/06/2021,Wed,2682.63,3311.22,2800,3311.22,0,,17.3,17.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
18,03/06/2021,Thu,2616.12,3547.22,3000,3547.22,0,,14.2,14.2,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
19,04/06/2021,Fri,2067.97,3650.97,4500,3650.97,0,,13.2,13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20,05/06/2021,Sat,2788.38,4080.44,5850,4080.44,0,,14.3,14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
21,06/06/2021,Sun,1620.2,1855.65,2700,1855.65,0,,15.9,15.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
