No,Date,DateOfWeek,Eat In,TotalNetSales,Forecast,VarianceÂ (NetÂ SalesÂ -Â LastÂ Year),Is_Holiday,Holiday_Name,temp,feelslike,conditions,description,icon
1,17/05/2021,Mon,1318.37,2118.92,2500.0,933.34,0,,10.6,9.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2,18/05/2021,Tue,1779.13,2255.63,2500.0,846.74,0,,10.2,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
3,19/05/2021,Wed,2033.29,2713.71,2500.0,1069.98,0,,10.3,9.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
4,20/05/2021,Thu,2145.98,3019.6,2800.0,1043.05,0,,10.0,9.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
5,21/05/2021,Fri,3511.22,5420.47,3500.0,2817.46,0,,9.4,6.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
6,22/05/2021,Sat,4096.35,5407.81,6500.0,1141.8,0,,9.7,7.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
7,23/05/2021,Sun,2387.7,2603.24,2500.0,-239.29,0,,8.0,5.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
8,24/05/2021,Mon,2034.94,2716.83,2500.0,1690.78,0,,8.3,6.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
9,25/05/2021,Tue,1602.34,2377.33,2500.0,1364.75,0,,9.0,7.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
10,26/05/2021,Wed,1639.54,2661.54,2500.0,1811.66,0,,9.8,8.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11,27/05/2021,Thu,1991.85,2882.54,2850.0,1981.75,0,,12.7,12.6,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
12,28/05/2021,Fri,3416.29,5789.69,3750.0,4478.27,0,,13.2,13.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
13,29/05/2021,Sat,3870.7,4955.62,6850.0,4145.92,0,,15.7,15.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14,30/05/2021,Sun,1397.15,1784.58,3000.0,1403.15,0,,14.3,14.2,Clear,Clear conditions throughout the day.,clear-day
15,31/05/2021,Mon,2421.58,2949.36,3500.0,2949.36,1,Spring Bank Holiday,14.9,14.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16,01/06/2021,Tue,2015.48,2686.77,2850.0,2686.77,0,,17.8,17.8,Clear,Clear conditions throughout the day.,clear-day
17,02/06/2021,Wed,2682.63,3311.22,2800.0,3311.22,0,,17.3,17.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
18,03/06/2021,Thu,2616.12,3547.22,3000.0,3547.22,0,,14.2,14.2,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
19,04/06/2021,Fri,2067.97,3650.97,4500.0,3650.97,0,,13.2,13.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20,05/06/2021,Sat,2788.38,4080.44,5850.0,4080.44,0,,14.3,14.0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
21,06/06/2021,Sun,1620.2,1855.65,2700.0,1855.65,0,,15.9,15.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
22,07/06/2021,Mon,1382.6,1971.61,2500.0,1971.61,0,,14.1,14.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
23,08/06/2021,Tue,919.22,1597.16,2500.0,1597.16,0,,14.7,14.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24,09/06/2021,Wed,1234.13,2165.1,2500.0,2165.1,0,,15.8,15.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25,10/06/2021,Thu,1487.58,2073.78,2850.0,2073.78,0,,17.3,17.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
26,11/06/2021,Fri,2054.82,3812.14,4500.0,3812.14,0,,16.2,16.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
27,12/06/2021,Sat,2786.27,4007.34,5500.0,4007.34,0,,15.7,15.7,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
28,13/06/2021,Sun,1078.57,1349.09,2900.0,1349.09,0,,18.8,18.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
29,14/06/2021,Mon,871.09,1223.39,2000.0,1223.39,0,,17.7,17.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30,15/06/2021,Tue,1030.08,1848.13,1900.0,1848.13,0,,16.8,16.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31,16/06/2021,Wed,1166.25,1435.63,2000.0,1435.63,0,,17.4,17.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
32,17/06/2021,Thu,2845.37,3879.67,2000.0,3879.67,0,,15.6,15.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
33,18/06/2021,Fri,2319.24,3965.59,3000.0,3965.59,0,,13.8,13.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
34,19/06/2021,Sat,3802.54,5165.3,4500.0,5165.3,0,,12.7,12.7,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
35,20/06/2021,Sun,2699.18,3380.8,2900.0,3380.8,0,,13.0,13.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
36,21/06/2021,Mon,840.03,1272.06,2000.0,1272.06,0,,12.3,12.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
37,22/06/2021,Tue,1347.7,2078.34,1900.0,2078.34,0,,12.9,12.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
38,23/06/2021,Wed,1162.39,2075.34,2500.0,2075.34,0,,14.1,13.9,Clear,Clear conditions throughout the day.,clear-day
39,24/06/2021,Thu,2449.62,3240.89,2600.0,3240.89,0,,15.2,15.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
40,25/06/2021,Fri,2793.53,4528.16,4000.0,4528.16,0,,13.9,13.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
41,26/06/2021,Sat,3775.89,5299.85,5000.0,5299.85,0,,15.0,15.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
42,27/06/2021,Sun,2410.82,2791.41,3000.0,2791.41,0,,15.2,15.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
43,28/06/2021,Mon,1882.19,2990.55,2200.0,2990.55,0,,14.3,14.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
44,29/06/2021,Tue,1565.99,2603.53,2000.0,2603.53,0,,15.0,15.0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
45,30/06/2021,Wed,2290.63,3297.11,2500.0,3297.11,0,,16.7,16.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
46,01/07/2021,Thu,1744.05,2950.13,2700.0,2950.13,0,,16.0,16.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
47,02/07/2021,Fri,2227.78,4131.4,4500.0,4131.4,0,,16.7,16.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
48,03/07/2021,Sat,3848.9,5814.83,5000.0,5814.83,0,,16.0,16.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
49,04/07/2021,Sun,2654.63,3035.89,3000.0,3035.89,0,,15.5,15.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
50,05/07/2021,Mon,2059.16,2828.43,2500.0,2828.43,0,,14.2,14.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
51,06/07/2021,Tue,2021.25,2714.48,2500.0,2714.48,0,,14.0,14.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
52,07/07/2021,Wed,1389.81,2630.77,2500.0,2630.77,0,,15.1,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
53,08/07/2021,Thu,1861.13,2897.49,2650.0,2897.49,0,,16.4,16.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
54,09/07/2021,Fri,2886.93,4003.73,4000.0,4003.73,0,,15.3,15.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
55,10/07/2021,Sat,4487.52,6167.47,5000.0,6167.47,0,,14.5,14.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
56,11/07/2021,Sun,2425.48,3275.24,3000.0,3275.24,0,,13.7,13.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
57,12/07/2021,Mon,1401.4,1553.7,2500.0,1553.7,0,,15.3,15.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
58,13/07/2021,Tue,2205.4,2948.74,2300.0,2948.74,0,,17.5,17.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
59,14/07/2021,Wed,1384.29,2202.05,2600.0,2202.05,0,,17.8,17.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
60,15/07/2021,Thu,1652.14,2593.65,2850.0,2593.65,0,,18.2,18.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
61,16/07/2021,Fri,1807.98,3425.17,3850.0,3425.17,0,,20.2,20.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
62,17/07/2021,Sat,2183.87,3732.45,5000.0,3732.45,0,,22.2,22.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
63,18/07/2021,Sun,814.71,1585.59,3000.0,1585.59,0,,23.2,23.4,Clear,Clear conditions throughout the day.,clear-day
64,19/07/2021,Mon,1506.62,2506.71,2500.0,2506.71,0,,23.6,23.8,Clear,Clear conditions throughout the day.,clear-day
65,20/07/2021,Tue,1273.23,2167.18,2500.0,2167.18,0,,23.6,23.6,Clear,Clear conditions throughout the day.,clear-day
66,21/07/2021,Wed,2266.24,3216.06,2650.0,3216.06,0,,23.3,23.3,Clear,Clear conditions throughout the day.,clear-day
67,22/07/2021,Thu,1736.82,3002.01,2700.0,3002.01,0,,23.0,23.1,Clear,Clear conditions throughout the day.,clear-day
68,23/07/2021,Fri,2242.14,3808.06,4000.0,3808.06,0,,20.8,20.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
69,24/07/2021,Sat,4096.82,5409.34,5500.0,5409.34,0,,16.1,16.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
70,25/07/2021,Sun,2823.28,3290.16,3000.0,3290.16,0,,17.2,17.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
71,26/07/2021,Mon,1822.83,2762.8,2600.0,2762.8,0,,18.5,18.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
72,27/07/2021,Tue,3329.37,4178.59,2600.0,4178.59,0,,17.2,17.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
73,28/07/2021,Wed,2770.98,3585.03,3000.0,3585.03,0,,15.1,15.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
74,29/07/2021,Thu,2927.66,4045.41,3000.0,4045.41,0,,14.9,14.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
75,30/07/2021,Fri,3899.34,4995.01,3500.0,4995.01,0,,14.8,14.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
76,31/07/2021,Sat,4264.15,5750.72,5000.0,5750.72,0,,15.5,15.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
77,01/08/2021,Sun,2838.74,3408.25,3200.0,3408.25,0,,15.4,15.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
78,02/08/2021,Mon,2072.19,2304.99,2500.0,2304.99,0,,14.2,14.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
